                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3921,                 8.2649,                0.29588,                 1.0993,                 1.2333,                0.77764,                0.60392,                0.70679,                0.41801,                0.30767,                0.12458,                0.06381,                 0.0135,                 1.3439,                 7.7979,                0.09197,                0.93631,                 1.1719,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.4195,                 8.2535,                0.28761,                 1.1079,                 1.2382,                0.76704,                0.60149,                0.69818,                0.41454,                0.34187,                0.13535,                0.07133,                0.01493,                 1.3424,                 7.7158,                0.08355,                0.95663,                 1.1642,              0.0065998,              0.0065998,              0.0065998
                      3,                 1.4637,                  8.369,                0.29211,                 1.1619,                 1.2568,                0.76692,                0.59358,                 0.6921,                0.40389,                0.35913,                0.13477,                0.07356,                0.01626,                 1.3706,                 7.7273,                0.08529,                0.98191,                 1.1816,              0.0098012,              0.0098012,              0.0098012
                      4,                 1.4843,                 8.4033,                0.29231,                 1.1888,                 1.2644,                0.77739,                0.60472,                0.70737,                0.42238,                0.37451,                 0.1463,                0.08338,                0.01839,                 1.3308,                 7.5482,                0.07484,                0.95386,                 1.1498,               0.009703,               0.009703,               0.009703
                      5,                 1.4459,                 8.2037,                0.28366,                 1.1411,                 1.2446,                0.77659,                0.62179,                0.72584,                0.44114,                0.41511,                0.16392,                0.10179,                0.02415,                 1.2923,                 7.3425,                0.06745,                0.90566,                 1.1404,               0.009604,               0.009604,               0.009604
                      6,                 1.4227,                 8.0918,                0.27833,                 1.1168,                 1.2358,                0.78681,                 0.6313,                0.73734,                0.45433,                0.43551,                0.17592,                 0.1189,                0.03205,                 1.2628,                 7.2183,                0.06299,                0.87688,                  1.126,               0.009505,               0.009505,               0.009505
                      7,                 1.4103,                 7.9928,                0.27413,                 1.0997,                 1.2282,                0.78692,                0.64863,                0.74492,                0.46306,                0.45644,                0.18726,                0.12912,                0.03299,                 1.2426,                 7.1107,                0.05549,                0.85594,                 1.1142,               0.009406,               0.009406,               0.009406
                      8,                 1.3987,                 7.9323,                0.26968,                 1.0826,                 1.2225,                0.79816,                0.65349,                 0.7559,                0.47329,                0.48208,                0.19745,                0.14235,                0.03804,                 1.2288,                 7.0075,                0.05602,                0.83692,                 1.1077,               0.009307,               0.009307,               0.009307
                      9,                 1.3853,                 7.8504,                0.26589,                 1.0689,                 1.2156,                0.79203,                0.66673,                0.76047,                0.47808,                0.48349,                0.19916,                0.14108,                0.03802,                 1.2206,                 6.9541,                 0.0493,                0.82386,                 1.1054,               0.009208,               0.009208,               0.009208
                     10,                 1.3756,                 7.8146,                0.26526,                 1.0605,                 1.2111,                 0.7935,                0.66663,                0.76569,                0.48294,                0.49958,                0.20735,                0.15061,                0.04069,                 1.2079,                 6.8954,                0.04671,                 0.8175,                 1.0982,               0.009109,               0.009109,               0.009109
