                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                  1.337,                 7.4927,                0.24705,                 1.0072,                 1.1937,                0.80874,                0.69569,                0.79197,                0.50765,                0.55466,                0.24107,                0.19522,                 0.0617,                 1.1724,                 6.4799,                0.03731,                0.76419,                 1.0895,              0.0096535,              0.0096535,              0.0096535
                     23,                 1.3337,                 7.4974,                0.24748,                  1.013,                 1.1951,                0.80998,                0.69588,                0.79231,                0.50773,                0.54952,                0.24237,                0.19659,                 0.0617,                 1.1713,                 6.4785,                 0.0373,                0.76395,                 1.0891,               0.009637,               0.009637,               0.009637
                     24,                 1.3387,                 7.5109,                 0.2467,                 1.0119,                 1.1949,                0.80724,                0.69864,                 0.7932,                0.50887,                0.55836,                0.24107,                 0.1972,                0.06191,                 1.1714,                 6.4762,                0.03728,                0.76333,                 1.0889,              0.0096205,              0.0096205,              0.0096205
                     25,                 1.3357,                 7.4815,                0.24576,                 1.0102,                 1.1944,                0.80775,                0.69873,                0.79283,                 0.5092,                0.55873,                 0.2424,                 0.1986,                0.06233,                 1.1714,                 6.4736,                0.03725,                0.76265,                 1.0895,               0.009604,               0.009604,               0.009604
                     26,                  1.335,                 7.4831,                0.24623,                 1.0123,                 1.1937,                0.80955,                0.69922,                0.79364,                0.50939,                0.55456,                 0.2425,                0.19722,                0.06238,                 1.1713,                 6.4694,                0.03738,                0.76188,                 1.0893,              0.0095875,              0.0095875,              0.0095875
                     27,                 1.3321,                   7.47,                0.24626,                 1.0055,                 1.1933,                0.80959,                0.69778,                0.79462,                0.50959,                0.55528,                0.24345,                0.19781,                0.06279,                 1.1708,                  6.466,                0.03737,                0.76136,                 1.0892,               0.009571,               0.009571,               0.009571
                     28,                 1.3331,                 7.4724,                0.24647,                 1.0081,                 1.1927,                0.81141,                0.69807,                0.79505,                0.50892,                0.55402,                0.24317,                0.19884,                 0.0628,                 1.1702,                 6.4626,                0.03731,                0.76092,                 1.0893,              0.0095545,              0.0095545,              0.0095545
                     29,                 1.3306,                 7.4634,                0.24592,                 1.0076,                 1.1903,                0.81164,                0.69729,                0.79463,                0.50898,                0.55412,                0.24402,                0.19918,                0.06313,                 1.1695,                 6.4594,                0.03725,                 0.7598,                 1.0889,               0.009538,               0.009538,               0.009538
                     30,                 1.3303,                 7.4649,                0.24641,                 1.0076,                 1.1914,                0.81271,                0.69767,                0.79485,                0.50907,                0.55495,                 0.2445,                0.20044,                 0.0631,                 1.1698,                 6.4586,                0.03711,                0.75915,                  1.089,              0.0095215,              0.0095215,              0.0095215
                     31,                 1.3354,                 7.4789,                0.24581,                 1.0118,                 1.1948,                0.81435,                0.69524,                0.79539,                0.50936,                 0.5568,                0.24364,                0.20032,                0.06338,                 1.1698,                 6.4558,                0.03693,                0.75859,                 1.0888,               0.009505,               0.009505,               0.009505
